14602;16269;Bliesdorf;DEUTSCHLAND;BRANDENBURG;52.69329;14.15901
14610;15754;Blossin;DEUTSCHLAND;BRANDENBURG;52.2630790509979;13.8099859841918
14613;16306;Blumberg bei Angermünde;DEUTSCHLAND;BRANDENBURG;53.20524;14.15273
14614;16356;Blumberg;DEUTSCHLAND;BRANDENBURG;52.60279;13.61743
14619;16928;Blumenthal bei Pritzwalk;DEUTSCHLAND;BRANDENBURG;53.07967;12.33595
14626;19357;Boberow bei Perleberg;DEUTSCHLAND;BRANDENBURG;53.14442;11.61729
14629;03222;Boblitz;DEUTSCHLAND;BRANDENBURG;51.84073;13.97966
14633;14550;Bochow bei Groß Kreutz;DEUTSCHLAND;BRANDENBURG;52.38363;12.79071
14645;19243;Boddin bei Hagenow;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.57695;11.10447
14647;16928;Boddin-Langnow;DEUTSCHLAND;BRANDENBURG;53.0864397020342;12.2397154232788
14674;18334;Böhlendorf;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;54.06568;12.6697
14680;19069;Böken bei Schwerin;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.70893;11.32867
14682;16278;Bölkendorf;DEUTSCHLAND;BRANDENBURG;52.95071;13.99997
14683;18276;Bölkow;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;54.0057004611035;11.9935626983643
14688;26831;Boen, Ostfriesland;DEUTSCHLAND;NIEDERSACHSEN;53.14175;7.25828000000001
14698;16321;Börnicke bei Bernau bei Berlin;DEUTSCHLAND;BRANDENBURG;52.6635846518723;13.6381062063599
14699;14641;Börnicke bei Nauen;DEUTSCHLAND;BRANDENBURG;52.68479;12.9342300000001
14743;03205;Bolschwitz;DEUTSCHLAND;BRANDENBURG;51.74473;14.02786
14748;35619;Bonbaden;DEUTSCHLAND;HESSEN;50.5033;8.42823
14779;16866;Bork-Lellichow;DEUTSCHLAND;BRANDENBURG;53.02634;12.4297
14795;06712;Bornitz bei Zeitz, Elster;DEUTSCHLAND;SACHSEN-ANHALT;51.0833;12.1667
14796;15926;Bornsdorf;DEUTSCHLAND;BRANDENBURG;51.7732;13.6939
14836;14662;Brädikow;DEUTSCHLAND;BRANDENBURG;52.68841;12.65116
14844;16259;Bralitz;DEUTSCHLAND;BRANDENBURG;52.83361;14.00465
14845;06862;Brambach bei Roßlau, Elbe;DEUTSCHLAND;SACHSEN-ANHALT;51.87627;12.1475
14854;06632;Branderoda;DEUTSCHLAND;SACHSEN-ANHALT;51.264363819676;11.8137781326295
14865;35619;Braunfels;DEUTSCHLAND;HESSEN;50.5191;8.39038
14870;16818;Braunsberg bei Neuruppin;DEUTSCHLAND;BRANDENBURG;53.04956;12.8359
14887;14641;Bredow;DEUTSCHLAND;BRANDENBURG;52.58787;12.92842
14889;17506;Breechen;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.9316;13.35427
14893;18334;Breesen bei Ribnitz-Damgarten;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;54.04776;12.69076
14905;03249;Breitenau, Niederlausitz;DEUTSCHLAND;BRANDENBURG;51.6863065867406;13.7227510635375
14908;37327;Breitenbach, Eichsfeld;DEUTSCHLAND;THUERINGEN;51.40511;10.3386800000001
14909;06528;Breitenbach bei Roßla;DEUTSCHLAND;SACHSEN-ANHALT;51.54168;11.1172799999999
14941;15890;Bremsdorf;DEUTSCHLAND;BRANDENBURG;52.13904;14.4905
14943;03249;Brenitz bei Sonnewalde;DEUTSCHLAND;BRANDENBURG;51.70247;13.59941
14970;15757;Briesen bei Königs Wusterhausen;DEUTSCHLAND;BRANDENBURG;52.0559;13.7166
14973;15913;Briesensee;DEUTSCHLAND;BRANDENBURG;51.95561;14.00416
14983;17166;Bristow;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.71256;12.62321
14999;17098;Brohm;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.6091;13.5959
15010;16278;Bruchhagen bei Angermünde;DEUTSCHLAND;BRANDENBURG;53.08074;13.97474
15024;17159;Brudersdorf;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.952853;12.876749
15041;39240;Brumby bei Schönebeck;DEUTSCHLAND;SACHSEN-ANHALT;51.89584;11.71798
15045;16833;Brunne bei Fehrbellin;DEUTSCHLAND;BRANDENBURG;52.77384;12.72847
15055;15749;Brusendorf;DEUTSCHLAND;BRANDENBURG;52.30901;13.5098399999999
15082;03253;Buchhain;DEUTSCHLAND;BRANDENBURG;51.64759;13.3902
15087;15518;Buchholz bei Fürstenwalde, Spree;DEUTSCHLAND;BRANDENBURG;52.42436;14.11159
15090;16928;Buchholz bei Pritzwalk;DEUTSCHLAND;BRANDENBURG;53.11749;12.18452
15114;39291;Büden;DEUTSCHLAND;SACHSEN-ANHALT;52.14785;11.82511
15126;17166;Bülow bei Teterow;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.68875;12.60091
15127;18276;Bülow bei Güstrow;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.76901;12.10311
15128;19217;Bülow bei Gadebusch;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.77042;11.0263
15135;38667;Bündheim / Schlewecke;DEUTSCHLAND;NIEDERSACHSEN;51.89887;10.54315
15152;14715;Bützer;DEUTSCHLAND;BRANDENBURG;52.53553;12.29923
15158;15859;Bugk;DEUTSCHLAND;BRANDENBURG;52.19372;13.91886
15168;26831;Bunderhee;DEUTSCHLAND;NIEDERSACHSEN;53.20174;7.28548999999998
15197;06258;Burgliebenau;DEUTSCHLAND;SACHSEN-ANHALT;51.3934934534031;12.0402952011109
15229;54673;Burscheid, Eifel;DEUTSCHLAND;RHEINLAND-PFALZ;50.0333;6.35
15234;06917;Buschkuhnsdorf;DEUTSCHLAND;SACHSEN-ANHALT;51.813246471226;13.146929824561
15235;14715;Buschow;DEUTSCHLAND;BRANDENBURG;52.58738;12.63409
15260;15926;Cahnsdorf;DEUTSCHLAND;BRANDENBURG;51.85002;13.74622
15271;19246;Camin;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.46327;10.96991
15272;15913;Caminchen;DEUTSCHLAND;BRANDENBURG;51.9520631169406;14.0605201904297
15281;15306;Carzig;DEUTSCHLAND;BRANDENBURG;52.4627113769261;14.4578884124755
15297;16909;Christdorf;DEUTSCHLAND;BRANDENBURG;53.0884035914224;12.4614643280029
15313;06449;Cochstedt;DEUTSCHLAND;SACHSEN-ANHALT;51.88249;11.40845
15318;06369;Cösitz;DEUTSCHLAND;SACHSEN-ANHALT;51.64914;12.0656
15328;06369;Cosa bei Köthen, Anhalt;DEUTSCHLAND;SACHSEN-ANHALT;51.69614;12.07858
15354;16278;Crussow;DEUTSCHLAND;BRANDENBURG;52.99958;14.07984
15369;21391;Dachtmissen;DEUTSCHLAND;NIEDERSACHSEN;53.2531838674961;10.3178587142943
15373;19294;Dadow;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.22046;11.49018
15385;39326;Dahlenwarsleben;DEUTSCHLAND;SACHSEN-ANHALT;52.19498;11.53889
15386;15827;Dahlewitz;DEUTSCHLAND;BRANDENBURG;52.32238;13.43889
15389;15366;Dahlwitz-Hoppegarten;DEUTSCHLAND;BRANDENBURG;52.5146629608257;13.6739956085205
15416;15299;Dammendorf;DEUTSCHLAND;BRANDENBURG;52.14291;14.41635
15423;16321;Danewitz;DEUTSCHLAND;BRANDENBURG;52.7332740136367;13.667601222229
15432;15754;Dannenreich;DEUTSCHLAND;BRANDENBURG;52.31739;13.7807299999999
15433;16866;Dannenwalde bei Neustadt, Dosse;DEUTSCHLAND;BRANDENBURG;53.02618;12.23369
15435;39245;Dannigkow;DEUTSCHLAND;SACHSEN-ANHALT;52.06998;11.8758800000001
15438;38836;Dardesheim;DEUTSCHLAND;SACHSEN-ANHALT;51.97698;10.83457
15465;16833;Dechtow;DEUTSCHLAND;BRANDENBURG;52.75697;12.80906
15467;38836;Dedeleben;DEUTSCHLAND;SACHSEN-ANHALT;52.03269;10.89021
15472;38835;Deersheim;DEUTSCHLAND;SACHSEN-ANHALT;51.9837493278043;10.7805534179688
